"","Behaviour","START","STOP","Duration","ID"
"224","Mounted + Freezing",4947.21,4959.5,12.29,"g1.G30xJ210"
"225","Leg Showcase + Mounted",4959.5,4962.16,2.65999999999985,"g1.G30xJ210"
"226","Mounted + Freezing",4962.16,4975.45,13.29,"g1.G30xJ210"
"228","Leg Showcase + Mounted + Pedipalp Showcase",4975.47,4977.06,1.59000000000015,"g1.G30xJ210"
"229","Mounted + Freezing",4977.06,4993.28,16.2199999999993,"g1.G30xJ210"
"230","Leg Showcase + Mounted",4993.28,4998.73,5.44999999999982,"g1.G30xJ210"
"231","Mounted + Freezing",4998.73,5008.03,9.30000000000018,"g1.G30xJ210"
"233","Leg Showcase + Mounted + Pedipalp Showcase",5008.88,5012,3.11999999999989,"g1.G30xJ210"
"234","Mounted + Freezing",5012,5028.13,16.1300000000001,"g1.G30xJ210"
"236","Leg Showcase + Mounted + Pedipalp Showcase",5028.42,5032.68,4.26000000000022,"g1.G30xJ210"
"237","Mounted + Freezing",5032.68,5040.73,8.04999999999927,"g1.G30xJ210"
"239","Leg Showcase + Mounted + Pedipalp Showcase",5040.78,5044.84,4.0600000000004,"g1.G30xJ210"
"240","Mounted + Freezing",5044.84,5053.96,9.11999999999989,"g1.G30xJ210"
"242","Leg Showcase + Mounted + Pedipalp Showcase",5054.05,5056.87,2.81999999999971,"g1.G30xJ210"
"243","Mounted + Freezing",5056.87,5065.51,8.64000000000033,"g1.G30xJ210"
"245","Leg Showcase + Mounted + Pedipalp Showcase",5065.6,5068.66,3.05999999999949,"g1.G30xJ210"
"246","Mounted + Freezing",5068.66,5080.59,11.9300000000003,"g1.G30xJ210"
"247","Leg Showcase + Mounted",5080.59,5083.41,2.81999999999971,"g1.G30xJ210"
"248","Mounted + Freezing",5083.41,5091.63,8.22000000000025,"g1.G30xJ210"
"249","Leg Showcase + Mounted",5091.63,5097.14,5.51000000000022,"g1.G30xJ210"
"250","Leg Showcase + Mounted + Pedipalp Showcase",5097.14,5101.24,4.09999999999945,"g1.G30xJ210"
"251","Mounted + Freezing",5101.24,5109.42,8.18000000000029,"g1.G30xJ210"
"253","Leg Showcase + Mounted + Pedipalp Showcase",5109.45,5114.35,4.90000000000055,"g1.G30xJ210"
"254","Mounted + Freezing",5114.35,5127.29,12.9399999999996,"g1.G30xJ210"
"256","Leg Showcase + Mounted + Pedipalp Showcase",5127.32,5130.9,3.57999999999993,"g1.G30xJ210"
"258","Mounted + Freezing",5130.91,5139.41,8.5,"g1.G30xJ210"
"260","Leg Showcase + Mounted + Pedipalp Showcase",5139.42,5144.46,5.03999999999996,"g1.G30xJ210"
"261","Mounted + Freezing",5144.46,5154.05,9.59000000000015,"g1.G30xJ210"
"263","Leg Showcase + Mounted + Pedipalp Showcase",5154.1,5158.04,3.9399999999996,"g1.G30xJ210"
"264","Mounted + Freezing",5158.04,5168.19,10.1499999999996,"g1.G30xJ210"
"266","Leg Showcase + Mounted + Pedipalp Showcase",5168.29,5172.72,4.43000000000029,"g1.G30xJ210"
"267","Mounted + Freezing",5172.72,5180.55,7.82999999999993,"g1.G30xJ210"
"269","Leg Showcase + Mounted + Pedipalp Showcase",5180.62,5184.7,4.07999999999993,"g1.G30xJ210"
"270","Mounted + Freezing",5184.7,5193.07,8.36999999999989,"g1.G30xJ210"
"272","Leg Showcase + Mounted + Pedipalp Showcase",5193.13,5197.49,4.35999999999967,"g1.G30xJ210"
"273","Mounted + Freezing",5197.49,5208.04,10.5500000000002,"g1.G30xJ210"
"275","Leg Showcase + Mounted + Pedipalp Showcase",5208.07,5215.22,7.15000000000055,"g1.G30xJ210"
"276","Mounted + Freezing",5215.22,5221.13,5.90999999999985,"g1.G30xJ210"
"278","Leg Showcase + Mounted + Pedipalp Showcase",5221.18,5223.93,2.75,"g1.G30xJ210"
"279","Mounted + Freezing",5223.93,5233.41,9.47999999999956,"g1.G30xJ210"
"281","Leg Showcase + Mounted + Pedipalp Showcase",5233.91,5240.8,6.89000000000033,"g1.G30xJ210"
"282","Mounted + Freezing",5240.8,5247.91,7.10999999999967,"g1.G30xJ210"
"284","Leg Showcase + Mounted + Pedipalp Showcase",5247.95,5252.59,4.64000000000033,"g1.G30xJ210"
"286","Mounted + Freezing",5252.67,5258.08,5.40999999999985,"g1.G30xJ210"
"288","Leg Showcase + Mounted + Pedipalp Showcase",5258.16,5262.13,3.97000000000025,"g1.G30xJ210"
"289","Mounted + Freezing",5262.13,5268.83,6.69999999999982,"g1.G30xJ210"
"290","Leg Showcase + Mounted + Pedipalp Showcase",5268.83,5272.38,3.55000000000018,"g1.G30xJ210"
"291","Mounted + Freezing",5272.38,5280.45,8.06999999999971,"g1.G30xJ210"
"293","Leg Showcase + Mounted + Pedipalp Showcase",5280.5,5284.45,3.94999999999982,"g1.G30xJ210"
"295","Mounted + Freezing",5284.5,5294.95,10.4499999999998,"g1.G30xJ210"
"297","Leg Showcase + Mounted + Pedipalp Showcase",5295.07,5297.84,2.77000000000044,"g1.G30xJ210"
"298","Mounted + Freezing",5297.84,5305.5,7.65999999999985,"g1.G30xJ210"
"300","Leg Showcase + Mounted + Pedipalp Showcase",5305.57,5309.72,4.15000000000055,"g1.G30xJ210"
"301","Mounted + Freezing",5309.72,5319.73,10.0099999999993,"g1.G30xJ210"
"303","Leg Showcase + Mounted + Pedipalp Showcase",5319.76,5323.34,3.57999999999993,"g1.G30xJ210"
"304","Mounted + Freezing",5323.34,5337.2,13.8599999999997,"g1.G30xJ210"
"306","Leg Showcase + Mounted + Pedipalp Showcase",5337.24,5340.75,3.51000000000022,"g1.G30xJ210"
"308","Mounted + Freezing",5341.43,5350.21,8.77999999999975,"g1.G30xJ210"
"310","Leg Showcase + Mounted + Pedipalp Showcase",5350.26,5353.56,3.30000000000018,"g1.G30xJ210"
"311","Mounted + Freezing",5353.56,5366.77,13.21,"g1.G30xJ210"
"313","Leg Showcase + Mounted + Pedipalp Showcase",5366.82,5369.81,2.99000000000069,"g1.G30xJ210"
"314","Mounted + Freezing",5369.81,5387.96,18.1499999999996,"g1.G30xJ210"
"316","Leg Showcase + Mounted + Pedipalp Showcase",5387.99,5392.14,4.15000000000055,"g1.G30xJ210"
"317","Mounted + Freezing",5392.14,5406.84,14.6999999999998,"g1.G30xJ210"
"318","Leg Showcase + Mounted + Pedipalp Showcase",5406.84,5411.2,4.35999999999967,"g1.G30xJ210"
"319","Mounted + Freezing",5411.2,5417.76,6.5600000000004,"g1.G30xJ210"
"321","Leg Showcase + Mounted + Pedipalp Showcase",5417.79,5420.36,2.56999999999971,"g1.G30xJ210"
"322","Mounted + Freezing",5420.36,5431.55,11.1900000000005,"g1.G30xJ210"
"324","Leg Showcase + Mounted + Pedipalp Showcase",5431.6,5435.26,3.65999999999985,"g1.G30xJ210"
"325","Leg Showcase + Mounted",5435.26,5436.89,1.63000000000011,"g1.G30xJ210"
"326","Mounted + Freezing",5436.89,5445.04,8.14999999999964,"g1.G30xJ210"
"328","Leg Showcase + Mounted + Pedipalp Showcase",5445.62,5451.5,5.88000000000011,"g1.G30xJ210"
"330","Mounted + Freezing",5452.44,5456.77,4.33000000000084,"g1.G30xJ210"
"332","Leg Showcase + Mounted + Pedipalp Showcase",5456.79,5462.99,6.19999999999982,"g1.G30xJ210"
"333","Mounted + Freezing",5462.99,5469.79,6.80000000000018,"g1.G30xJ210"
"335","Leg Showcase + Mounted + Pedipalp Showcase",5469.8,5473.43,3.63000000000011,"g1.G30xJ210"
"337","Mounted + Freezing",5473.45,5481.16,7.71000000000004,"g1.G30xJ210"
"339","Leg Showcase + Mounted + Pedipalp Showcase",5481.23,5485.12,3.89000000000033,"g1.G30xJ210"
"340","Mounted + Freezing",5485.12,5494.97,9.85000000000036,"g1.G30xJ210"
"342","Leg Showcase + Mounted + Pedipalp Showcase",5494.99,5499.38,4.39000000000033,"g1.G30xJ210"
"343","Mounted + Freezing",5499.38,5508,8.61999999999989,"g1.G30xJ210"
"345","Leg Showcase + Mounted + Pedipalp Showcase",5508.11,5512.09,3.98000000000047,"g1.G30xJ210"
"346","Mounted + Freezing",5512.09,5516.38,4.28999999999996,"g1.G30xJ210"
"348","Leg Showcase + Mounted + Pedipalp Showcase",5516.41,5519.96,3.55000000000018,"g1.G30xJ210"
"349","Mounted + Freezing",5519.96,5529.13,9.17000000000007,"g1.G30xJ210"
"351","Leg Showcase + Mounted + Pedipalp Showcase",5529.27,5533.86,4.58999999999924,"g1.G30xJ210"
"352","Mounted + Freezing",5533.86,5541.3,7.44000000000051,"g1.G30xJ210"
"354","Leg Showcase + Mounted + Pedipalp Showcase",5541.31,5544.88,3.56999999999971,"g1.G30xJ210"
"356","Mounted + Freezing",5544.9,5553.11,8.21000000000004,"g1.G30xJ210"
"358","Leg Showcase + Mounted + Pedipalp Showcase",5553.16,5556.08,2.92000000000007,"g1.G30xJ210"
"359","Mounted + Freezing",5556.08,5561.51,5.43000000000029,"g1.G30xJ210"
"361","Leg Showcase + Mounted + Pedipalp Showcase",5561.52,5563.69,2.16999999999916,"g1.G30xJ210"
"363","Mounted + Freezing",5563.73,5569.73,6,"g1.G30xJ210"
"365","Leg Showcase + Mounted + Pedipalp Showcase",5569.74,5573.85,4.11000000000058,"g1.G30xJ210"
"366","Mounted + Freezing",5573.85,5585.52,11.6700000000001,"g1.G30xJ210"
"368","Leg Showcase + Mounted + Pedipalp Showcase",5585.58,5591.44,5.85999999999967,"g1.G30xJ210"
"369","Mounted + Freezing",5591.44,5600.17,8.73000000000047,"g1.G30xJ210"
"371","Leg Showcase + Mounted + Pedipalp Showcase",5600.19,5604.58,4.39000000000033,"g1.G30xJ210"
"372","Mounted + Freezing",5604.58,5613.48,8.89999999999964,"g1.G30xJ210"
"374","Leg Showcase + Mounted + Pedipalp Showcase",5613.54,5618.56,5.02000000000044,"g1.G30xJ210"
"375","Mounted + Freezing",5618.56,5627.59,9.02999999999975,"g1.G30xJ210"
"377","Leg Showcase + Mounted + Pedipalp Showcase",5627.64,5633.07,5.42999999999938,"g1.G30xJ210"
"379","Mounted + Freezing",5633.54,5641.6,8.0600000000004,"g1.G30xJ210"
"381","Leg Showcase + Mounted + Pedipalp Showcase",5641.68,5646.13,4.44999999999982,"g1.G30xJ210"
"382","Mounted + Freezing",5646.13,5657.2,11.0699999999997,"g1.G30xJ210"
"384","Leg Showcase + Mounted + Pedipalp Showcase",5657.21,5660.86,3.64999999999964,"g1.G30xJ210"
"385","Mounted + Freezing",5660.86,5668.73,7.86999999999989,"g1.G30xJ210"
"387","Leg Showcase + Mounted + Pedipalp Showcase",5668.8,5675,6.19999999999982,"g1.G30xJ210"
"388","Mounted + Freezing",5675,5682.45,7.44999999999982,"g1.G30xJ210"
"390","Leg Showcase + Mounted + Pedipalp Showcase",5682.5,5685.49,2.98999999999978,"g1.G30xJ210"
"391","Mounted + Freezing",5685.49,5691.98,6.48999999999978,"g1.G30xJ210"
"393","Leg Showcase + Mounted + Pedipalp Showcase",5692.01,5696.06,4.05000000000018,"g1.G30xJ210"
"394","Mounted + Freezing",5696.06,5704.16,8.09999999999945,"g1.G30xJ210"
"396","Leg Showcase + Mounted + Pedipalp Showcase",5704.26,5707.44,3.17999999999938,"g1.G30xJ210"
"398","Mounted + Freezing",5707.57,5715.2,7.63000000000011,"g1.G30xJ210"
"400","Leg Showcase + Mounted + Pedipalp Showcase",5715.26,5721.79,6.52999999999975,"g1.G30xJ210"
"401","Mounted + Freezing",5721.79,5730,8.21000000000004,"g1.G30xJ210"
"403","Leg Showcase + Mounted + Pedipalp Showcase",5730.03,5733.88,3.85000000000036,"g1.G30xJ210"
"404","Mounted + Freezing",5733.88,5743.21,9.32999999999993,"g1.G30xJ210"
"406","Leg Showcase + Mounted + Pedipalp Showcase",5743.27,5745.04,1.76999999999953,"g1.G30xJ210"
"407","Mounted + Freezing",5745.04,5751.92,6.88000000000011,"g1.G30xJ210"
"409","Leg Showcase + Mounted + Pedipalp Showcase",5751.95,5757.77,5.82000000000062,"g1.G30xJ210"
"410","Mounted + Freezing",5757.77,5765.17,7.39999999999964,"g1.G30xJ210"
"411","Leg Showcase + Mounted + Pedipalp Showcase",5765.17,5769.8,4.63000000000011,"g1.G30xJ210"
"412","Mounted + Freezing",5769.8,5776.34,6.53999999999996,"g1.G30xJ210"
"414","Leg Showcase + Mounted + Pedipalp Showcase",5776.39,5779.49,3.09999999999945,"g1.G30xJ210"
"415","Mounted + Freezing",5779.49,5786.2,6.71000000000004,"g1.G30xJ210"
"417","Leg Showcase + Mounted + Pedipalp Showcase",5786.23,5790.5,4.27000000000044,"g1.G30xJ210"
"418","Mounted + Freezing",5790.5,5798.66,8.15999999999985,"g1.G30xJ210"
"420","Leg Showcase + Mounted + Pedipalp Showcase",5798.71,5802.03,3.31999999999971,"g1.G30xJ210"
"422","Mounted + Freezing",5802.08,5809.58,7.5,"g1.G30xJ210"
"424","Leg Showcase + Mounted + Pedipalp Showcase",5809.61,5813.56,3.95000000000073,"g1.G30xJ210"
"425","Mounted + Freezing",5813.56,5819.56,6,"g1.G30xJ210"
"427","Leg Showcase + Mounted + Pedipalp Showcase",5819.6,5824.06,4.46000000000004,"g1.G30xJ210"
"428","Mounted + Freezing",5824.06,5831.94,7.8799999999992,"g1.G30xJ210"
"430","Leg Showcase + Mounted + Pedipalp Showcase",5832,5835.4,3.39999999999964,"g1.G30xJ210"
"431","Mounted + Freezing",5835.4,5844.49,9.09000000000015,"g1.G30xJ210"
"433","Leg Showcase + Mounted + Pedipalp Showcase",5844.53,5851.44,6.90999999999985,"g1.G30xJ210"
"434","Mounted + Freezing",5851.44,5858.4,6.96000000000004,"g1.G30xJ210"
"436","Leg Showcase + Mounted + Pedipalp Showcase",5858.44,5862.91,4.47000000000025,"g1.G30xJ210"
"437","Mounted + Freezing",5862.91,5876.64,13.7300000000005,"g1.G30xJ210"
"439","Leg Showcase + Mounted + Pedipalp Showcase",5876.67,5881.78,5.10999999999967,"g1.G30xJ210"
"440","Mounted + Freezing",5881.78,5894.76,12.9800000000005,"g1.G30xJ210"
"442","Leg Showcase + Mounted + Pedipalp Showcase",5894.8,5896.48,1.67999999999938,"g1.G30xJ210"
"443","Mounted + Freezing",5896.48,5902.31,5.83000000000084,"g1.G30xJ210"
"445","Leg Showcase + Mounted + Pedipalp Showcase",5902.38,5906.03,3.64999999999964,"g1.G30xJ210"
"446","Mounted + Freezing",5906.03,5913.71,7.68000000000029,"g1.G30xJ210"
"448","Leg Showcase + Mounted + Pedipalp Showcase",5913.85,5917.78,3.92999999999938,"g1.G30xJ210"
