"","Behaviour","START","STOP","Duration","ID"
"217","Mounted + Pedipalp Showcase",2522.79,2524.73,1.94000000000005,"g1.J101xJ204"
"218","Leg Showcase + Mounted + Pedipalp Showcase",2524.73,2526.01,1.2800000000002,"g1.J101xJ204"
"220","Mounted + Freezing",2526.14,2538.52,12.3800000000001,"g1.J101xJ204"
"222","Leg Showcase + Mounted + Pedipalp Showcase",2538.64,2540.68,2.03999999999996,"g1.J101xJ204"
"224","Mounted + Freezing",2540.74,2555.1,14.3600000000001,"g1.J101xJ204"
"225","Leg Showcase + Mounted",2555.1,2557.56,2.46000000000004,"g1.J101xJ204"
"226","Mounted + Freezing",2557.56,2570.88,13.3200000000002,"g1.J101xJ204"
"227","Mounted + Pedipalp Showcase",2570.88,2573.65,2.76999999999998,"g1.J101xJ204"
"228","Mounted + Freezing",2573.65,2581.66,8.00999999999976,"g1.J101xJ204"
"230","Leg Showcase + Mounted + Pedipalp Showcase",2581.72,2584.04,2.32000000000016,"g1.J101xJ204"
"232","Mounted + Freezing",2584.1,2594.76,10.6600000000003,"g1.J101xJ204"
"233","Mounted + Pedipalp Showcase",2594.76,2597.51,2.75,"g1.J101xJ204"
"236","Mounted + Freezing",2599.2,2603.05,3.85000000000036,"g1.J101xJ204"
"237","Mounted + Pedipalp Showcase",2603.05,2606.39,3.33999999999969,"g1.J101xJ204"
"238","Mounted + Freezing",2606.39,2616.25,9.86000000000013,"g1.J101xJ204"
"240","Leg Showcase + Mounted + Pedipalp Showcase",2616.56,2621.37,4.80999999999995,"g1.J101xJ204"
"242","Mounted + Freezing",2621.43,2627.71,6.2800000000002,"g1.J101xJ204"
"244","Leg Showcase + Mounted + Pedipalp Showcase",2628.18,2630.35,2.17000000000007,"g1.J101xJ204"
"246","Mounted + Freezing",2630.39,2639.51,9.12000000000035,"g1.J101xJ204"
"248","Leg Showcase + Mounted + Pedipalp Showcase",2639.56,2643.82,4.26000000000022,"g1.J101xJ204"
"250","Mounted + Freezing",2643.86,2649.65,5.78999999999996,"g1.J101xJ204"
"251","Leg Showcase + Mounted",2649.65,2651.42,1.76999999999998,"g1.J101xJ204"
"252","Mounted + Freezing",2651.42,2660.9,9.48000000000002,"g1.J101xJ204"
"253","Leg Showcase + Mounted",2660.9,2662.29,1.38999999999987,"g1.J101xJ204"
"254","Leg Showcase + Mounted + Pedipalp Showcase",2662.29,2666.03,3.74000000000024,"g1.J101xJ204"
"256","Mounted + Freezing",2666.04,2680.8,14.7600000000002,"g1.J101xJ204"
"258","Leg Showcase + Mounted + Pedipalp Showcase",2680.83,2685.2,4.36999999999989,"g1.J101xJ204"
"260","Mounted + Freezing",2685.29,2690.99,5.69999999999982,"g1.J101xJ204"
"262","Leg Showcase + Mounted + Pedipalp Showcase",2691.08,2694.32,3.24000000000024,"g1.J101xJ204"
"264","Mounted + Freezing",2694.35,2703.47,9.11999999999989,"g1.J101xJ204"
"266","Leg Showcase + Mounted + Pedipalp Showcase",2703.48,2706.23,2.75,"g1.J101xJ204"
"268","Mounted + Freezing",2706.25,2715.56,9.30999999999995,"g1.J101xJ204"
"270","Leg Showcase + Mounted + Pedipalp Showcase",2715.75,2717.66,1.90999999999985,"g1.J101xJ204"
"272","Mounted + Freezing",2717.67,2735.12,17.4499999999998,"g1.J101xJ204"
"273","Mounted + Pedipalp Showcase",2735.12,2736.95,1.82999999999993,"g1.J101xJ204"
"274","Leg Showcase + Mounted + Pedipalp Showcase",2736.95,2738.31,1.36000000000013,"g1.J101xJ204"
"276","Mounted + Freezing",2738.4,2746.44,8.03999999999996,"g1.J101xJ204"
"278","Leg Showcase + Mounted + Pedipalp Showcase",2747.08,2750.75,3.67000000000007,"g1.J101xJ204"
"280","Mounted + Freezing",2750.84,2760.56,9.7199999999998,"g1.J101xJ204"
"282","Leg Showcase + Mounted + Pedipalp Showcase",2760.9,2766.46,5.55999999999995,"g1.J101xJ204"
"284","Mounted + Freezing",2766.5,2776.19,9.69000000000005,"g1.J101xJ204"
"285","Mounted + Pedipalp Showcase",2776.19,2779.81,3.61999999999989,"g1.J101xJ204"
"286","Mounted + Freezing",2779.81,2788.54,8.73000000000002,"g1.J101xJ204"
"287","Mounted + Pedipalp Showcase",2788.54,2790.05,1.51000000000022,"g1.J101xJ204"
"288","Leg Showcase + Mounted + Pedipalp Showcase",2790.05,2791.51,1.46000000000004,"g1.J101xJ204"
"290","Mounted + Freezing",2791.6,2800.42,8.82000000000016,"g1.J101xJ204"
"293","Leg Showcase + Mounted",2800.95,2803.37,2.42000000000007,"g1.J101xJ204"
"294","Mounted + Freezing",2803.37,2814.21,10.8400000000001,"g1.J101xJ204"
"295","Leg Showcase + Mounted",2814.21,2819.56,5.34999999999991,"g1.J101xJ204"
"298","Mounted + Freezing",2820.48,2826.29,5.80999999999995,"g1.J101xJ204"
"300","Leg Showcase + Mounted + Pedipalp Showcase",2826.3,2830.17,3.86999999999989,"g1.J101xJ204"
"302","Mounted + Freezing",2830.22,2836.99,6.76999999999998,"g1.J101xJ204"
"304","Leg Showcase + Mounted + Pedipalp Showcase",2837.01,2841.84,4.82999999999993,"g1.J101xJ204"
"306","Mounted + Freezing",2841.93,2855.03,13.1000000000004,"g1.J101xJ204"
"308","Leg Showcase + Mounted + Pedipalp Showcase",2855.06,2858.08,3.01999999999998,"g1.J101xJ204"
"310","Mounted + Freezing",2858.18,2866.99,8.80999999999995,"g1.J101xJ204"
"311","Mounted + Pedipalp Showcase",2866.99,2871.62,4.63000000000011,"g1.J101xJ204"
"312","Mounted + Freezing",2871.62,2881.31,9.69000000000005,"g1.J101xJ204"
"313","Mounted + Pedipalp Showcase",2881.31,2887.25,5.94000000000005,"g1.J101xJ204"
"316","Mounted + Freezing",2887.33,2893.09,5.76000000000022,"g1.J101xJ204"
"318","Leg Showcase + Mounted + Pedipalp Showcase",2893.22,2896.06,2.84000000000015,"g1.J101xJ204"
"320","Mounted + Freezing",2896.16,2901.79,5.63000000000011,"g1.J101xJ204"
"322","Leg Showcase + Mounted + Pedipalp Showcase",2901.88,2905.22,3.33999999999969,"g1.J101xJ204"
"324","Mounted + Freezing",2905.32,2911.19,5.86999999999989,"g1.J101xJ204"
"326","Leg Showcase + Mounted + Pedipalp Showcase",2911.29,2913.92,2.63000000000011,"g1.J101xJ204"
"328","Mounted + Freezing",2913.97,2925.49,11.52,"g1.J101xJ204"
"330","Leg Showcase + Mounted + Pedipalp Showcase",2925.5,2928.19,2.69000000000005,"g1.J101xJ204"
"332","Mounted + Freezing",2928.28,2936.59,8.30999999999995,"g1.J101xJ204"
"333","Mounted + Pedipalp Showcase",2936.59,2938.52,1.92999999999984,"g1.J101xJ204"
"334","Leg Showcase + Mounted + Pedipalp Showcase",2938.52,2942.84,4.32000000000016,"g1.J101xJ204"
"336","Mounted + Freezing",2942.94,2950.59,7.65000000000009,"g1.J101xJ204"
"338","Leg Showcase + Mounted + Pedipalp Showcase",2950.66,2953.22,2.55999999999995,"g1.J101xJ204"
"339","Leg Showcase + Mounted",2953.22,2956.4,3.18000000000029,"g1.J101xJ204"
"340","Mounted + Freezing",2956.4,2962.08,5.67999999999984,"g1.J101xJ204"
"342","Leg Showcase + Mounted + Pedipalp Showcase",2962.17,2968.16,5.98999999999978,"g1.J101xJ204"
"344","Mounted + Freezing",2968.27,2975.35,7.07999999999993,"g1.J101xJ204"
"346","Leg Showcase + Mounted + Pedipalp Showcase",2975.45,2978.94,3.49000000000024,"g1.J101xJ204"
"348","Mounted + Freezing",2978.98,2983.66,4.67999999999984,"g1.J101xJ204"
"349","Leg Showcase + Mounted",2983.66,2989.9,6.24000000000024,"g1.J101xJ204"
"350","Mounted + Freezing",2989.9,3052.63,62.3800000000001,"g1.J101xJ204"
"366","Leg Showcase + Mounted + Pedipalp Showcase",3052.68,3058.24,5.55999999999995,"g1.J101xJ204"
"368","Mounted + Freezing",3058.27,3078.25,19.8599999999997,"g1.J101xJ204"
"374","Leg Showcase + Mounted + Pedipalp Showcase",3078.3,3083.37,5.06999999999971,"g1.J101xJ204"
"376","Mounted + Freezing",3083.42,3088.1,4.67999999999984,"g1.J101xJ204"
"378","Leg Showcase + Mounted + Pedipalp Showcase",3088.18,3094.55,6.37000000000035,"g1.J101xJ204"
"380","Mounted + Freezing",3094.61,3105.46,10.8499999999999,"g1.J101xJ204"
"381","Mounted + Pedipalp Showcase",3105.46,3110.7,5.23999999999978,"g1.J101xJ204"
"382","Mounted + Freezing",3110.7,3114.32,3.62000000000035,"g1.J101xJ204"
"383","Leg Showcase + Mounted",3114.32,3119.66,5.33999999999969,"g1.J101xJ204"
"384","Leg Showcase + Mounted + Pedipalp Showcase",3119.66,3126.27,6.61000000000013,"g1.J101xJ204"
"386","Mounted + Freezing",3126.38,3134.71,8.32999999999993,"g1.J101xJ204"
"388","Leg Showcase + Mounted + Pedipalp Showcase",3134.73,3143.22,8.48999999999978,"g1.J101xJ204"
"390","Mounted + Freezing",3143.33,3152.1,8.76999999999998,"g1.J101xJ204"
"391","Leg Showcase + Mounted + Pedipalp Showcase",3152.1,3163.58,11.48,"g1.J101xJ204"
"393","Mounted + Freezing",3163.62,3209.27,45.1900000000005,"g1.J101xJ204"
"406","Leg Showcase + Mounted",3209.48,3239.04,29.3099999999999,"g1.J101xJ204"
"413","Mounted + Freezing",3239.1,3388.21,147.87,"g1.J101xJ204"
"454","Leg Showcase + Mounted",3388.84,3424.57,35.73,"g1.J101xJ204"
"464","Mounted + Freezing",3425.18,3437.2,12.02,"g1.J101xJ204"
"465","Leg Showcase + Mounted",3437.2,3439.7,2.5,"g1.J101xJ204"
"466","Leg Showcase + Mounted + Pedipalp Showcase",3439.7,3442.44,2.74000000000024,"g1.J101xJ204"
"468","Mounted + Freezing",3442.45,3481.98,39.3299999999999,"g1.J101xJ204"
"474","Leg Showcase + Mounted + Pedipalp Showcase",3482.11,3498.01,15.9000000000001,"g1.J101xJ204"
"476","Mounted + Freezing",3498.04,3579.12,80.5400000000004,"g1.J101xJ204"
"494","Leg Showcase + Mounted + Pedipalp Showcase",3579.7,3624.97,45.27,"g1.J101xJ204"
"504","Mounted + Freezing",3625.76,3689.63,63.8699999999999,"g1.J101xJ204"
"513","Leg Showcase + Mounted + Pedipalp Showcase",3690.61,3781.22,90.6099999999997,"g1.J101xJ204"
"519","Mounted + Freezing",3782.22,3783.58,1.36000000000013,"g1.J101xJ204"
"520","Leg Showcase + Mounted",3783.58,3784.61,1.0300000000002,"g1.J101xJ204"
"521","Leg Showcase + Mounted + Pedipalp Showcase",3784.61,3786.35,1.73999999999978,"g1.J101xJ204"
"523","Mounted + Freezing",3786.42,3794.93,8.50999999999976,"g1.J101xJ204"
"524","Leg Showcase + Mounted",3794.93,3799.76,4.83000000000038,"g1.J101xJ204"
